²;N;Operator;Vernacular;TreeID;SampleID;ID TRY;ScientificName;Family;genus;species;RDMC ;RootAverageLenght ;Rootdryweight;Rootfreshweight;RSL;WD;BarkTh;DBH;PetioleL;LeafThickness;LeafArea;FreshWeight;DryWeight;LDMC;SLA;Dispers;Deciduousness;SPAD
1;NA;Marco;Acajou blanc;A;1;NA;Khaya anthotheca ;Meliaceae;Khaya;anthotheca;437828;4,994;;;0,011;0,4906364;0,54;135;28,8;0,27;189342;33,44;275100;82279;2,301214;2;1,5;65,7
2;NA;Marco;Acajou blanc;A;2;NA;Khaya anthotheca;Meliaceae;Khaya;anthotheca;454890;5,215;;;0,011;0,4906364;0,5;135;25,7;0,27;93819;18,75;122800;65493;1,432501;2;1,5;60,9
3;NA;Marco;Acajou blanc;A;3;NA;Khaya anthotheca;Meliaceae;Khaya;anthotheca;476611;3,647;;;0,008;0,4906364;0,52;135;32,5;0,24;81490;12,14;85700;70593;1,154366;2;1,5;66
4;NA;Marco;Acajou blanc;B;1;NA;Khaya anthotheca;Meliaceae;Khaya;anthotheca;489784;2,591;;;0,005;0,4906364;0,61;110;16,6;0,25;58702;8,78;66100;75285;0,779726;2;1,5;40,8
5;NA;Marco;Acajou blanc;B;2;NA;Khaya anthotheca;Meliaceae;Khaya;anthotheca;487635;3,43;;;0,007;0,4906364;0,78;110;24,1;0,24;134384;18,51;127200;68738;1,955018;2;1,5;37
6;NA;Marco;Acajou blanc;B;3;NA;Khaya anthotheca;Meliaceae;Khaya;anthotheca;458225;2,55;;;0,006;0,4906364;0,7;110;21,3;0,23;106235;15,84;111300;70287;1,511442;2;1,5;38,8
7;NA;Marco;Acajou blanc;C;1;NA;Khaya anthotheca;Meliaceae;Khaya;anthotheca;441860;3,231;;;0,007;0,4906364;0,54;230;12,8;0,26;54273;8,86;63250;71388;0,760252;2;1,5;33
8;NA;Marco;Acajou blanc;C;2;NA;Khaya anthotheca;Meliaceae;Khaya;anthotheca;389831;3,707;;;0,01;0,4906364;0,56;230;14,7;0,29;80405;13,41;84950;63372;1,268777;2;1,5;25,2
9;NA;Marco;Acajou blanc;C;3;NA;Khaya anthotheca;Meliaceae;Khaya;anthotheca;250000;5,534;;;0,022;0,4906364;0,53;230;13,9;0,28;112911;20,36;105300;51719;2,183151;2;1,5;26,1
10;NA;Marco;Ako;A;1;NA;Antiaris africana;Moraceae;Antiaris;africana;332971;3,203;;;0,01;0,3815263;2,2;1007;0,9;0,53;6318;1,16;8600;74042;0,085334;3;1;49,7
11;NA;Marco;Ako;A;2;NA;Antiaris africana;Moraceae;Antiaris;africana;361446;3,089;;;0,009;0,3815263;1,9;1007;0,4;0,63;7145;1,45;10600;73250;0,097537;3;1;47,4
