Slice,Count,Total Area,Average Size,%Area
3(35)A-KOTIBé,4,1220.848,305.212,2.030
3(35)B-KOTIBé,1,311.906,311.906,0.519
3(35)C-KOTIBé,1,484.276,484.276,0.805
14A-SAMBA,2,937.774,468.887,1.559
14B-SAMBA,7,777.113,111.016,1.292
14C-SAMBA,5,629.456,125.891,1.047
32A- FROMAGER,11,1004.160,91.287,1.670
32B-FROMAGER,4,755.328,188.832,1.256
32C-FROMAGER,12,1244.319,103.693,2.069
36A-FRAKé,4,619.904,154.976,1.031
36B-FRAKé,2,563.128,281.564,0.936
36C-FRAKé,1,640.912,640.912,1.066
38A-FRAKé,1,633.350,633.350,1.053
38B-FRAKé,1,546.544,546.544,0.909
38C-FRAKé,3,1366.479,455.493,2.272
43A-KOTO,6,776.634,129.439,1.291
43B-KOTO,6,756.360,126.060,1.258
43C-KOTO,2,811.204,405.602,1.349
44A-BETé,2,2136.118,1068.059,3.552
44B-BETé,2,1731.231,865.616,2.878
44C-BETé,2,496.000,248.000,0.825
47A-KOTIBé,5,1357.966,271.593,2.258
47B-KOTIBé,2,719.807,359.904,1.197
47C-KOTIBé,4,1156.750,289.187,1.923
48A-KOTIBé,2,1183.460,591.730,1.968
48B-KOTIBé,5,742.384,148.477,1.234
48C-KOTIBé,1,510.267,510.267,0.848
51A-BA,6,200.758,33.460,0.334
51B-BA,1,1891.877,1891.877,3.146
51C-BA,7,549.079,78.440,0.913
58A-KOTO,4,2251.007,562.752,3.743
58B-KOTO,1,311.150,311.150,0.517
58C-KOTO,8,754.588,94.323,1.255
62A-LOTOFA,3,979.884,326.628,1.629
62B-LOTOFA,5,842.999,168.600,1.402
62C-LOTOFA,7,1054.747,150.678,1.754
68A-KOTO,4,1841.936,460.484,3.063
68B-KOTO,4,1205.928,301.482,2.005
68C-KOTO,5,1054.740,210.948,1.754
73A-BETé,11,733.543,66.686,1.220
73B-BETé,9,850.822,94.536,1.415
73C-BETé,8,191.184,23.898,0.318
78A-BETé,3,1323.214,441.071,2.200
78B-BETé,7,194.721,27.817,0.324
78C-BETé,8,247.967,30.996,0.412
81A-SAMBA,7,759.295,108.471,1.262
81B-SAMBA,8,1305.729,163.216,2.171
81C-SAMBA,9,1248.314,138.702,2.076
91A-FROMAGER,2,644.609,322.305,1.072
91B-FROMAGER,9,735.643,81.738,1.223
91C-FORMAGER,5,589.678,117.936,0.980
101A-LOTOFA,4,577.351,144.338,0.960
101A-SAMBA,3,491.671,163.890,0.817
101B-LOTOFA,3,2499.076,833.025,4.155
101B-SAMBA,2,731.560,365.780,1.216
101C-LOTOFA,6,890.070,148.345,1.480
101C-SAMBA,3,740.648,246.883,1.231
119A-FROMAGER,7,2605.175,372.168,4.332
119B-FROMAGER,3,1904.524,634.841,3.167
119C-FROMAGER,2,1716.921,858.461,2.855
127A-LOTOFA,2,1328.343,664.171,2.209
127B-LOTOFA,3,1019.102,339.701,1.694
127C-LOTOFA,3,828.020,276.007,1.377
ACAJOU BLANC - A1,3,1914.091,638.030,3.182
ACAJOU BLANC - A2,5,1213.265,242.653,2.017
ACAJOU BLANC - A3,7,1043.786,149.112,1.735
ACAJOU BLANC - B1,6,1086.005,181.001,1.806
ACAJOU BLANC - B2,5,883.206,176.641,1.468
ACAJOU BLANC - B3,4,1939.014,484.753,3.224
ACAJOU BLANC - C1,2,873.515,436.758,1.452
ACAJOU BLANC - C2,2,842.963,421.481,1.402
ACAJOU BLANC - C3,4,311.521,77.880,0.518
AKO-A1,3,2498.887,832.962,4.155
AKO-A2,3,1344.164,448.055,2.235
AKO-A3,5,535.393,107.079,0.890
AKO-B1,2,1127.505,563.752,1.875
AKO-B2,4,1152.798,288.200,1.917
AKO-B3,3,1160.099,386.700,1.929
AKO-C1,1,1621.958,1621.958,2.697
AKO-C2,4,351.684,87.921,0.585
AKO-C3,7,779.707,111.387,1.296
ASAMOIAKE-A1,2,606.763,303.382,1.009
ASAMOIAKE-A2,4,968.268,242.067,1.610
ASAMOIAKE-A3,1,1478.840,1478.840,2.459
ASAMOIAKE-B1,5,774.927,154.985,1.288
ASAMOIAKE-B2,6,968.806,161.468,1.611
ASAMOIAKE-B3,3,385.070,128.357,0.640
ASAMOIAKE-C1,2,535.168,267.584,0.890
ASAMOIAKE-C2,4,417.904,104.476,0.695
