"";"IDtree";"field_name";"genus.y";"species.y";"family";"dbh";"plot";"subplot";"x";"y";"meanWD";"sdWD";"levelWD"
"1";"1_1_1_1";"eho";"Ricinodendron";"heudelotii";"Euphorbiaceae";203;1;1;"104,55";"1804,65";0,2106;0,0708232617216773;"species"
"2";"1_1_1_10";"loloti";"Lannea";"welwitschii";"Anacardiaceae";177;1;1;"105,45";"1819,3";0,405333333333333;0,0708232617216773;"species"
"3";"1_1_1_11";"loloti";"Lannea";"welwitschii";"Anacardiaceae";222;1;1;"108,7";"1817,82";0,405333333333333;0,0708232617216773;"species"
"4";"1_1_1_12";"tuibesso";"Baphia";"bancoensis";"Fabaceae";107;1;1;"119,2";"1808,65";0,772;0,0941339098036177;"genus"
"5";"1_1_1_13";"dologaha";"Millettia";"zechiana";"Fabaceae";152;1;1;"119,1";"1803,78";0,696722222222222;0,0941339098036177;"genus"
"6";"1_1_1_14";"tuibesso";"Baphia";"bancoensis";"Fabaceae";116;1;1;"118";"1807,53";0,772;0,0941339098036177;"genus"
"7";"1_1_1_15";"tuibesso";"Baphia";"bancoensis";"Fabaceae";137;1;1;"118";"1810,52";0,772;0,0941339098036177;"genus"
"8";"1_1_1_16";"manba.ngavi";"Diospyros";"ferrea";"Ebenaceae";121;1;1;"119,3";"1811,8";0,94;0,0708232617216773;"species"
"9";"1_1_1_2";"dologaha";"Millettia";"zechiana";"Fabaceae";104;1;1;"115,7";"1801,65";0,696722222222222;0,0941339098036177;"genus"
"10";"1_1_1_3";"dologaha";"Millettia";"zechiana";"Fabaceae";1203;1;1;"115,8";"1802,9";0,696722222222222;0,0941339098036177;"genus"
"11";"1_1_1_4";"eho";"Ricinodendron";"heudelotii";"Euphorbiaceae";516;1;1;"112,35";"1803,5";0,2106;0,0708232617216773;"species"
"12";"1_1_1_5";"bete";"Mansonia";"altissima";"Malvaceae";115;1;1;"110";"1802,01";0,564458333333333;0,0708232617216773;"species"
"13";"1_1_1_6";"";NA;NA;NA;118;1;1;"108,9";"1807,11";NA;NA;NA
"14";"1_1_1_7";"bete";"Mansonia";"altissima";"Malvaceae";565;1;1;"102,63";"1814,2";0,564458333333333;0,0708232617216773;"species"
"15";"1_1_1_8";"asamoiake";"Trichilia";"prieuriana";"Meliaceae";165;1;1;"101,97";"1816,7";0,663;0,0708232617216773;"species"
"16";"1_1_1_9";"asamoiake";"Trichilia";"prieuriana";"Meliaceae";142;1;1;"101,8";"1819,02";0,663;0,0708232617216773;"species"
"17";"1_1_10_1";"cedrela";"Cedrela";"odorata";"Meliaceae";428;1;1;"128";"1814,1";0,446857142857143;0,0708232617216773;"species"
"18";"1_1_10_2";"kotibe";"Nesogordonia";"papaverifera";"Malvaceae";142;1;1;"126,5";"1807,1";0,645;0,0708232617216773;"species"
"19";"1_1_10_3";"kotibe";"Nesogordonia";"papaverifera";"Malvaceae";157;1;1;"127,5";"1807,1";0,645;0,0708232617216773;"species"
"20";"1_1_10_4";"";NA;NA;NA;167;1;1;"126,65";"1804,4";NA;NA;NA
"21";"1_1_10_5";"aboudikro";"Entandrophragma";"cylindricum";"Meliaceae";124;1;1;"128";"1805,5";0,5715;0,0708232617216773;"species"
"22";"1_1_10_6";"bosse";"Guarea";"cedrata";"Meliaceae";107;1;1;"131,1";"1808,3";0,607288888888889;0,0941339098036177;"genus"
"23";"1_1_10_7";"kotibe";"Nesogordonia";"papaverifera";"Malvaceae";157;1;1;"121,55";"1807,5";0,645;0,0708232617216773;"species"
"24";"1_1_10_8";"kotibe";"Nesogordonia";"papaverifera";"Malvaceae";111;1;1;"139,1";"1804,8";0,645;0,0708232617216773;"species"
"25";"1_1_10_9";"bete";"Mansonia";"altissima";"Malvaceae";187;1;1;"122";"1807,35";0,564458333333333;0,0708232617216773;"species"
"26";"1_1_11_1";"eho";"Ricinodendron";"heudelotii";"Euphorbiaceae";589;1;1;"145,65";"1801,8";0,2106;0,0708232617216773;"species"
"27";"1_1_11_10";"fromager";"Ceiba";"pentandra";"Malvaceae";153;1;1;"159,3";"1813,1";0,305212121212121;0,0708232617216773;"species"
"28";"1_1_11_11";"lie";"Margaritaria";"discoidea";"Phyllanthaceae";162;1;1;"155";"1808,1";0,7195;0,0708232617216773;"species"
"29";"1_1_11_12";"cedrela";"Cedrela";"odorata";"Meliaceae";230;1;1;"157,6";"1805,7";0,446857142857143;0,0708232617216773;"species"
"30";"1_1_11_13";"cedrela";"Cedrela";"odorata";"Meliaceae";442;1;1;"159,1";"1803,15";0,446857142857143;0,0708232617216773;"species"
"31";"1_1_11_14";"";NA;NA;NA;332;1;1;"159,5";"1801,7";NA;NA;NA
"32";"1_1_11_15";"akossika.petites.feuilles";"Scottellia";"klaineana";"Achariaceae";113;1;1;"156";"1803,5";0,57575;0,0708232617216773;"species"
"33";"1_1_11_16";"";NA;NA;NA;108;1;1;"150,05";"1803,1";NA;NA;NA
"34";"1_1_11_17";"dologaha";"Millettia";"zechiana";"Fabaceae";156;1;1;"148";"1805,35";0,696722222222222;0,0941339098036177;"genus"
"35";"1_1_11_2";"ouindo";"Lasiodiscus";"mildbraedii";"Rhamnaceae";104;1;1;"142,2";"1802,35";0,784;0,0941339098036177;"genus"
"36";"1_1_11_3";"ilomba";"Pycnanthus";"angolensis";"Myristicaceae";449;1;1;"141,9";"1805,95";0,4089;0,0708232617216773;"species"
"37";"1_1_11_4";"bete";"Mansonia";"altissima";"Malvaceae";181;1;1;"143,4";"1805,9";0,564458333333333;0,0708232617216773;"species"
"38";"1_1_11_5";"dologaha";"Millettia";"zechiana";"Fabaceae";121;1;1;"145,1";"1809,3";0,696722222222222;0,0941339098036177;"genus"
"39";"1_1_11_6";"kaka";"Blighia";"welwitschii";"Sapindaceae";119;1;1;"140,23";"1802,1";0,78575;0,0708232617216773;"species"
"40";"1_1_11_7";"kaka";"Blighia";"welwitschii";"Sapindaceae";142;1;1;"143,25";"1817,45";0,78575;0,0708232617216773;"species"
"41";"1_1_11_8";"";NA;NA;NA;116;1;1;"154,4";"1813,7";NA;NA;NA
"42";"1_1_11_9";"tchikouebi";"Bridelia";"aubrevillei";"Phyllanthaceae";145;1;1;"156";"1814,8";0,555032738095238;0,0941339098036177;"genus"
"43";"1_1_12_10";"ako";"Antiaris";"toxicaria";"Moraceae";191;1;1;"146,45";"1828,1";0,383052631578947;0,0708232617216773;"species"
"44";"1_1_12_11";"fromager";"Ceiba";"pentandra";"Malvaceae";150;1;1;"158,2";"1821,2";0,305212121212121;0,0708232617216773;"species"
"45";"1_1_12_12";"fromager";"Ceiba";"pentandra";"Malvaceae";146;1;1;"156,15";"1830";0,305212121212121;0,0708232617216773;"species"
"46";"1_1_12_13";"cedrela";"Cedrela";"odorata";"Meliaceae";367;1;1;"154";"1833,9";0,446857142857143;0,0708232617216773;"species"
"47";"1_1_12_14";"poe";"Strombosia";"pustulata";"Olacaceae";122;1;1;"156,7";"1835";0,830285714285714;0,0708232617216773;"species"
"48";"1_1_12_15";"eho";"Ricinodendron";"heudelotii";"Euphorbiaceae";330;1;1;"159,8";"1836,5";0,2106;0,0708232617216773;"species"
"49";"1_1_12_16";"adjouaba";"Dacryodes";"klaineana";"Burseraceae";120;1;1;"158,95";"1838,1";0,7245;0,0708232617216773;"species"
"50";"1_1_12_2";"lotofa";"Sterculia";"rhinopetala";"Malvaceae";335;1;1;"150,8";"1833,2";0,673;0,0708232617216773;"species"
"51";"1_1_12_3";"asan";"Celtis";"zenkeri";"Cannabaceae";221;1;1;"144,7";"1834";0,6085;0,0708232617216773;"species"
"52";"1_1_12_4";"afambeou";"Dialium";"dinklagei";"Fabaceae";151;1;1;"143,85";"1833,5";0,683;0,0708232617216773;"species"
"53";"1_1_12_5";"bete";"Mansonia";"altissima";"Malvaceae";201;1;1;"141,05";"1834,5";0,564458333333333;0,0708232617216773;"species"
"54";"1_1_12_6";"acajou.blanc";"Khaya";"anthotheca";"Meliaceae";239;1;1;"148";"1833,6";0,490636363636364;0,0708232617216773;"species"
"55";"1_1_12_7";"ba";"Celtis";"mildbraedii";"Cannabaceae";111;1;1;"152,1";"1834,2";0,617571428571429;0,0708232617216773;"species"
"56";"1_1_12_8";"asan";"Celtis";"zenkeri";"Cannabaceae";626;1;1;"153";"1828,8";0,6085;0,0708232617216773;"species"
"57";"1_1_12_9";"asamoiake";"Trichilia";"prieuriana";"Meliaceae";112;1;1;"155";"1824";0,663;0,0708232617216773;"species"
"58";"1_1_13_1";"dologaha";"Millettia";"zechiana";"Fabaceae";143;1;1;"150,2";"1841,55";0,696722222222222;0,0941339098036177;"genus"
"59";"1_1_13_10";"asamoiake";"Trichilia";"prieuriana";"Meliaceae";160;1;1;"157,6";"1840,5";0,663;0,0708232617216773;"species"
"60";"1_1_13_11";"dologaha";"Millettia";"zechiana";"Fabaceae";157;1;1;"156,2";"1857";0,696722222222222;0,0941339098036177;"genus"
"61";"1_1_13_2";"dologaha";"Millettia";"zechiana";"Fabaceae";125;1;1;"150,2";"1842";0,696722222222222;0,0941339098036177;"genus"
"62";"1_1_13_3";"paintou";"Vitex";"ferruginea";"Lamiaceae";176;1;1;"152";"1843,8";0,565170666666667;0,0941339098036177;"genus"
"63";"1_1_13_4";"adaschia";"Trema";"orientalis";"Cannabaceae";110;1;1;"146,3";"1856,3";0,345333333333333;0,0708232617216773;"species"
"64";"1_1_13_5";"pore_pore";"Sterculia";"tragacantha";"Malvaceae";125;1;1;"147";"1848,35";0,404821666666667;0,0941339098036177;"genus"
"65";"1_1_13_6";"pore_pore";"Sterculia";"tragacantha";"Malvaceae";109;1;1;"149,65";"1848,35";0,404821666666667;0,0941339098036177;"genus"
"66";"1_1_13_7";"ilomba";"Pycnanthus";"angolensis";"Myristicaceae";103;1;1;"149,8";"1846";0,4089;0,0708232617216773;"species"
"67";"1_1_13_8";"eho";"Ricinodendron";"heudelotii";"Euphorbiaceae";673;1;1;"151,9";"1842";0,2106;0,0708232617216773;"species"
"68";"1_1_13_9";"";NA;NA;NA;130;1;1;"155";"1842,5";NA;NA;NA
"69";"1_1_14_1";"wounian.grand";"Myrianthus";"arboreus";"Urticaceae";109;1;1;"144,5";"1863,85";0,4495;0,0941339098036177;"genus"
"70";"1_1_14_10";"iroko";"Milicia";"excelsa";"Moraceae";132;1;1;"155,5";"1874,1";0,57444;0,0708232617216773;"species"
"71";"1_1_14_11";"kotibe";"Nesogordonia";"papaverifera";"Malvaceae";100;1;1;"155";"1872";0,645;0,0708232617216773;"species"
"72";"1_1_14_12";"";NA;NA;NA;137;1;1;"152,1";"1866,4";NA;NA;NA
"73";"1_1_14_13";"ako";"Antiaris";"toxicaria";"Moraceae";100;1;1;"148";"1866,4";0,383052631578947;0,0708232617216773;"species"
"74";"1_1_14_14";"difou";"Morus";"mesozygia";"Moraceae";130;1;1;"154";"1865,3";0,723555555555556;0,0708232617216773;"species"
"75";"1_1_14_15";"ilomba";"Pycnanthus";"angolensis";"Myristicaceae";200;1;1;"154,5";"1862,6";0,4089;0,0708232617216773;"species"
"76";"1_1_14_16";"tofe";"Macaranga";"spinosa";"Euphorbiaceae";201;1;1;"155,4";"1867";0,381788617886179;0,0941339098036177;"genus"
"77";"1_1_14_17";"ilomba";"Pycnanthus";"angolensis";"Myristicaceae";232;1;1;"158,3";"1873";0,4089;0,0708232617216773;"species"
"78";"1_1_14_18";"bi";"Eribroma";"oblongum";"Malvaceae";200;1;1;"154,85";"1872,8";0,638454545454545;0,0708232617216773;"species"
"79";"1_1_14_19";"lotofa";"Sterculia";"rhinopetala";"Malvaceae";124;1;1;"155,5";"1874";0,673;0,0708232617216773;"species"
"80";"1_1_14_2";"tofe";"Macaranga";"spinosa";"Euphorbiaceae";162;1;1;"142,4";"1869,8";0,381788617886179;0,0941339098036177;"genus"
