SPECIES	treeID	sampleID	TENE_CODE	FreshWeight 	DryWeight 	RDMC 	RootAverageLenght 	RSL	BarkTh	DBH	
				(g)	(mg)	(mg g-1)	(cm)	(cm/mg g-1)	(cm)	(mm)	
Fromager	A	1		0,087	70	804,88	1,528	0,002	2,3	>1050	
Fromager	A	2		0,3776	100	264,83	1,807	0,007	2,5	>1050	
Fromager	A	3		0,1916	130	678,46	3,758	0,006	2,3	>1050	
Fromager	B	1		0,0671	50	744,82	2,79	0,004	2,2	861	
Fromager	B	2		0,0642	50	779,3	3,633	0,005	1,81	861	
Fromager	B	3		0,1722	90	522,62	3,875	0,007	2,4	861	
Fromager	C	1		1,496	350	233,96	2,388	0,01	2,1	1023	
Fromager	C	2		0,9516	260	273,22	1,953	0,007	1,72	1023	
Fromager	C	3		0,7218	190	263,23	1,632	0,006	1,6	1023	
Bete	A	1		0,97	370	381,44	4,409	0,012	1,55	250	
Bete	A	2		0,8044	280	348,09	2,493	0,007	1,24	250	
Bete	A	3		0,1327	60	452,15	0,827	0,002	0,7	250	
Bete	B	1		0,1484	70	471,73	2,169	0,005	1,26	213	
Bete	B	2		0,2655	120	451,93	3,131	0,007	1,2	213	
Bete	B	3		0,0372	20	537,2	1,812	0,003	1,28	213	
Bete	C	1		0,3448	140	406,06	5,942	0,015	1,52	217	
Bete	C	2		0,0272	15	550,86	2,331	0,004	1,37	217	
Bete	C	3		0,0348	22	632,37	4,769	0,008	1,55	217	
Samba	A	1		0,3795	140	368,92	8,796	0,024	0,7	298	
Samba	A	2		0,295	70	237,29	2,912	0,012	0,75	298	
Samba	A	3		0,1766	80	452,9	4,017	0,009	0,81	298	
Samba	B	1		0,1825	80	438,45	1,562	0,004	0,83	569	
Samba	B	2		0,3109	140	450,31	3,471	0,008	0,8	569	
Samba	B	3		0,3847	170	441,94	2,43	0,005	0,91	569	
Samba	C	1		0,1704	70	410,92	5,186	0,013	0,77	236	
Samba	C	2		0,2704	110	406,8	1,731	0,004	0,91	236	
Samba	C	3		0,2391	100	418,29	2,212	0,005	0,83	236	
Kotibe	A	1		0,4919	220	447,25	4,532	0,01	0,62	275	
Kotibe	A	2		0,2557	160	625,73	0,796	0,001	0,47	275	
Kotibe	A	3		0,1158	60	518,13	1,705	0,003	0,57	275	
Kotibe	B	1		0,2878	140	486,45	4,532	0,009	0,66	328	
Kotibe	B	2		0,5556	350	629,91	0,796	0,001	0,63	328	
Kotibe	B	3		0,4217	240	569,1	4,887	0,009	0,61	328	
Kotibe	C	1	21_4_16_2	0,08	40	500	2,03	0,004	0,4	157	
Kotibe	C	2	21_4_16_2	0,28	100	357,14	4,154	0,012	0,47	157	
Kotibe	C	3	21_4_16_2	0,18	60	333,33	1,678	0,005	0,46	157	
Lotofa	A	1		0,7033	440	625,62	4,646	0,007	1,3	276	
Lotofa	A	2		0,3846	210	546,02	4,187	0,008	1,17	276	
Lotofa	A	3		0,3376	180	533,18	4,862	0,009	1,2	276	
Lotofa	B	1		0,1231	60	487,41	2,813	0,006	1,21	295	
Lotofa	B	2		1,2225	650	531,7	3,302	0,006	1,45	295	
Lotofa	B	3		0,3066	180	587,08	3,002	0,005	1,14	295	
Lotofa	C	1		0,3985	240	602,26	6,916	0,011	1,2	236	
Lotofa	C	2		0,2709	160	590,62	3,671	0,006	1,12	236	
Lotofa	C	3		0,4507	250	554,69	3,097	0,006	0,99	236	
Ba	A	1		0,0497	20	402,41	3,25	0,008	0,34	205	
Ba	A	2		1,3607	540	396,85	4,108	0,01	0,39	205	
Ba	A	3		0,2712	100	368,73	3,843	0,01	0,32	205	
Ba	B	1		0,7586	320	421,83	3,245	0,008	0,3	140	
Ba	B	2		0,37	170	459,46	2,29	0,005	0,35	140	
Ba	B	3		0,4694	220	468,68	2,886	0,006	0,28	140	
Ba	C	1	21_3_5_6	0,31	120	387,1	3,082	0,008	0,57	155	
Ba	C	2	21_3_5_6	0,43	160	372,09	1,883	0,005	0,45	155	
Ba	C	3	21_3_5_6	0,9	340	377,78	3,172	0,008	0,5	155	
Koto	A	1		0,6071	350	576,48	5,149	0,009	1,19	897	
Koto	A	2		0,0933	50	535,91	2,681	0,005	1,23	897	
Koto	A	3		0,3047	150	492,3	3,456	0,007	1,15	897	
Koto	B	1		0,3963	180	454,2	1,787	0,004	1,06	555	
Koto	B	2		0,8345	150	179,75	2,345	0,013	1,56	555	
Koto	B	3		0,287	130	452,96	2,907	0,006	1,37	555	
Koto	C	1		1,045	290	277,51	4,123	0,015	1,2	518	
Koto	C	2		0,7203	240	333,19	3,589	0,011	1,28	518	
Koto	C	3		0,7311	140	191,49	3,238	0,017	1,17	518	
Frake / Limba	A	1		0,4399	190	431,92	3,327	0,008	0,76	720	
Frake / Limba	A	2		0,2875	140	486,96	3,262	0,007	0,84	720	
Frake / Limba	A	3		0,4912	220	447,88	2,674	0,006	0,84	720	
Frake / Limba	B	1	22_1_22_7	0,07	20	285,71	1,36	0,005	0,76	500	
Frake / Limba	B	2	22_1_22_7	0,4	100	250	2,948	0,012	1	500	
Frake / Limba	B	3	22_1_22_7	0,32	70	218,75	2,655	0,012	0,91	500	
Frake / Limba	C	1		0,3141	130	413,88	4,354	0,011	0,6	175	
Frake / Limba	C	2		0,4006	190	474,29	5,551	0,012	0,6	175	
Frake / Limba	C	3		0,215	90	418,6	3,258	0,008	0,52	175	
Ako	A	1		1,4716	490	332,97	3,203	0,01	2,2	1007	
Ako	A	2		0,747	270	361,45	3,089	0,009	1,9	1007	
Ako	A	3		0,198	80	404,04	2,428	0,006	1,8	1007	
Ako	B	1		0,5947	130	218,6	2,657	0,012	1	248	 
Ako	B	2		0,6877	190	276,28	3,02	0,011	0,83	248	
Ako	B	3		0,79	220	278,48	2,816	0,01	0,9	248	
Ako	C	1		0,4611	160	347	3,892	0,011	1,21	429	
Ako	C	2		0,1715	50	291,55	3,168	0,011	1,67	429	
Ako	C	3		0,243	90	370,37	3,15	0,009	1,6	429	
Ouara grand	A	1		1,1393	500	438,87	9,732	0,022	1,36	>1050	
Ouara grand	A	2		0,361	210	581,72	5,526	0,009	1,33	>1050	
Ouara grand	A	3		0,3277	140	427,22	4,007	0,009	1,1	>1050	
Ouara grand	B	1		1,1795	410	347,6	7,357	0,021	0,96	513	
Ouara grand	B	2		0,8452	280	331,28	5,143	0,016	1,29	513	
Ouara grand	B	3		0,4362	160	366,8	5,865	0,016	1,53	513	
Ouara grand	C	1	21_1_5_11	0,1	30	300	2,423	0,008	0,81	199	
Ouara grand	C	2	21_1_5_11	0,46	160	347,83	2,082	0,006	0,9	199	
Ouara grand	C	3	21_1_5_11	0,39	110	282,05	2,193	0,008	0,72	199	
Acajou blanc	A	1		1,713	750	437,83	4,994	0,011	0,54	135	
Acajou blanc	A	2		0,9233	420	454,89	5,215	0,011	0,5	135	
Acajou blanc	A	3		0,5665	270	476,61	3,647	0,008	0,52	135	
Acajou blanc	B	1		0,7146	350	489,78	2,591	0,005	0,61	110	
Acajou blanc	B	2		0,5742	280	487,63	3,43	0,007	0,78	110	
Acajou blanc	B	3		1,3094	600	458,23	2,55	0,006	0,7	110	
Acajou blanc	C	1	21_3_6_2	0,43	190	441,86	3,231	0,007	0,54	230	
Acajou blanc	C	2	21_3_6_2	0,59	230	389,83	3,707	0,01	0,56	230	
Acajou blanc	C	3	21_3_6_2	0,24	60	250	5,534	0,022	0,53	230	
Asamoiake	A	1	21_4_1_6	0,26	60	230,77	2,068	0,009	0,67	357	
Asamoiake	A	2	21_4_1_6	0,58	190	327,59	2,683	0,008	0,65	357	
Asamoiake	A	3	21_4_1_6	0,69	190	275,36	3,098	0,011	0,56	357	
Asamoiake	B	1	21_2_10_6	0,34	80	235,29	1,708	0,007	0,39	190	
Asamoiake	B	2	21_2_10_6	0,49	120	244,9	2,469	0,01	0,39	190	
Asamoiake	B	3	21_2_10_6	0,18	50	277,78	3,293	0,012	0,41	190	
Asamoiake	C	1	21_2_20_2	0,2	50	250	2,882	0,012	0,38	224	
Asamoiake	C	2	21_2_20_2	0,19	50	263,16	1,77	0,007	0,54	224	
Asamoiake	C	3	21_2_20_2	0,1	30	300	3,888	0,013	0,46	224	
Cedrela	A	1	21_1_20_3	0,87	220	252,87	2,668	0,011	1,82	392	
Cedrela	A	2	21_1_20_3	1,1	240	218,18	3,329	0,015	1,64	392	
Cedrela	A	3	21_1_20_3	1,47	340	231,29	3,54	0,015	1,52	392	
Cedrela	B	1	21_1_11_2	0,67	170	253,73	4,097	0,016	2,15	417	
Cedrela	B	2	21_1_11_2	1,78	430	241,57	4,962	0,021	1,75	417	
Cedrela	B	3	21_1_11_2	0,71	170	239,44	3,084	0,013	1,38	417	
Cedrela	C	1	21_4_5_2	0,16	40	250	1,432	0,006	2,24	230	
Cedrela	C	2	21_4_5_2	1,09	240	220,18	3,434	0,016	2,09	230	
Cedrela	C	3	21_4_5_2	0,44	110	250	1,95	0,008	2,25	230	
Bi ou Eyong	A	1	21_4_10_5	0,38	80	210,53	3,203	0,015	1,14	198	
Bi ou Eyong	A	2	21_4_10_5	0,26	50	192,31	1,861	0,01	1,24	198	
Bi ou Eyong	A	3	21_4_10_5	0,29	110	379,31	0,827	0,002	0,92	198	
Bi ou Eyong	B	1	21_3_18_12	0,23	100	434,78	1,838	0,004	0,8	182	
Bi ou Eyong	B	2	21_3_18_12	1,07	340	317,76	2,089	0,007	1	182	
Bi ou Eyong	B	3	21_3_18_12	1,17	320	273,5	3,416	0,012	1,15	182	
Bi ou Eyong	C	1	21_3_22_10	0,92	210	228,26	1,301	0,006	0,76	201	
Bi ou Eyong	C	2	21_3_22_10	0,85	240	282,35	1,974	0,007	0,89	201	
Bi ou Eyong	C	3	21_3_22_10	0,84	220	261,9	1,744	0,007	1,01	201	
Pepe Angrouafou	A	1	11_2_24_3	0,59	120	203,39	2,052	0,01	0,65	280	
Pepe Angrouafou	A	2	11_2_24_3	0,46	100	217,39	1,612	0,007	0,66	280	
Pepe Angrouafou	A	3	11_2_24_3	0,59	170	288,14	1,827	0,006	0,73	280	
Pepe Angrouafou	B	1	11_2_25_22	0,1	30	300	1,947	0,006	0,62	301	
Pepe Angrouafou	B	2	11_2_25_22	0,14	60	428,57	2,466	0,006	0,64	301	
Pepe Angrouafou	B	3	11_2_25_22	0,1	30	300	2,129	0,007	0,74	301	
Pepe Angrouafou	C	1	11_2_6_9	0,36	90	250	2,504	0,01	0,68	256	
Pepe Angrouafou	C	2	11_2_6_9	0,56	150	267,86	2,393	0,009	0,66	256	
Pepe Angrouafou	C	3	11_2_6_9	0,34	90	264,71	2,029	0,008	0,79	256	
Ouossoupalie a fleurs mauves	A	1	11_1_11_4	0,09	20	222,22	2,465	0,011	1,48	100	
Ouossoupalie a fleurs mauves	A	2	11_1_11_4	0,12	30	250	2,536	0,01	1,12	100	
Ouossoupalie a fleurs mauves	A	3	11_1_11_4	0,32	120	375	2,422	0,006	0,61	100	
Ouossoupalie a fleurs mauves	B	1		0,03	21	700	2,014	0,003	2,73	215	
Ouossoupalie a fleurs mauves	B	2		0,11	63	572,73	1,514	0,003	2,23	215	
Ouossoupalie a fleurs mauves	B	3		0,04	18	450	1,834	0,004	2,06	215	
Ouossoupalie a fleurs mauves	C	1									
Ouossoupalie a fleurs mauves	C	2									
Ouossoupalie a fleurs mauves	C	3									
Papayer	A	1		0,5	60	120	6,734	0,056	0,42	66	
Papayer	A	2		0,09	16	177,78	2,278	0,013	0,57	66	
Papayer	A	3		0,16	30	187,5	2,371	0,013	0,62	66	
Papayer	B	1		0,59	60	101,69	5,416	0,053	0,86	72	
Papayer	B	2		0,41	50	121,95	4,666	0,038	0,86	72	
Papayer	B	3		0,46	60	130,43	3,823	0,029	0,71	72	
Papayer	C	1		0,41	40	97,56	4,679	0,048	0,6	74	
Papayer	C	2		0,3	30	100	4,756	0,048	0,64	74	
Papayer	C	3		0,31	40	129,03	3,843	0,03	0,35	74	
Kaka	A	1	21_2_16_7	0,46	210	456,52	1,606	0,004	1,55	900	
Kaka	A	2	21_2_16_7	0,31	140	451,61	2,197	0,005	1,35	900	
Kaka	A	3	21_2_16_7	0,34	170	500	2,223	0,004	1,63	900	
Kaka	B	1	22_2_8_1	0,81	400	493,83	1,967	0,004	0,9	402	
Kaka	B	2	22_2_8_1	0,27	160	592,59	1,82	0,003	0,82	402	
Kaka	B	3	22_2_8_1	0,17	90	529,41	1,402	0,003	0,65	402	
Kaka	C	1	22_2_10_7	0,1	30	300	3,645	0,012	0,77	113	
Kaka	C	2	22_2_10_7	0,52	110	211,54	1,253	0,006	0,8	113	
Kaka	C	3	22_2_10_7	0,24	80	333,33	2,201	0,007	0,7	113	
Loloti	A	1	21_1_24_3	0,37	100	270,27	2,707	0,01	0,86	198	
