;OldVernacular;OldScientificName;Oldgenus;Oldspecies;TreeID;SampleID;RDMC;RootAverageLenght;RSL;BarkTh;PetioleL;LeafThickness;LeafArea;FreshWeight;DryWeight;LDMC;SLA;Dispers;Deciduousness;SPAD;Filled;Operator;Rootdryweight;Rootfreshweight;RootsArea;RSA;field_name;genus;species;MeanDBH;N;Roots_length;meanWD;sdWD;levelWD;nInd;family,,,,,,,,,,,,,,,,,,
1;Acajou blanc;Khaya anthotheca;Khaya;anthotheca;A;1;437,8283713;4,994;0,001601496;0,54;28,8;0,27;189342;33,44;27510;822,79;6,882660851;2;1.5;65,7;0;Marco;750;1,713;1914,091;2,552121333;acajou.blanc;Khaya;anthotheca;321,5643564;101;1,2011222;0,490636364;0,070823262;species;11;Meliaceae,
2;Acajou blanc;Khaya anthotheca;Khaya;anthotheca;A;2;454,8900682;5,215;0,001817208;0,5;25,7;0,27;93819;18,75;12280;654,93;7,639983713;2;1.5;60,9;0;Marco;420;0,9233;1213,265;2,88872619;acajou.blanc;Khaya;anthotheca;321,5643564;101;0,7632273;0,490636364;0,070823262;species;11;Meliaceae,
3;Acajou blanc;Khaya anthotheca;Khaya;anthotheca;A;3;476,6107679;3,647;0,003057407;0,52;32,5;0,24;81490;12,14;8570;705,93;9,508751459;2;1.5;66;0;Marco;270;0,5665;1043,786;3,865874074;acajou.blanc;Khaya;anthotheca;321,5643564;101;0,82549983;0,490636364;0,070823262;species;11;Meliaceae,,
4;Acajou blanc;Khaya anthotheca;Khaya;anthotheca;B;1;489,7844948;2,591;0,001922015;0,61;16,6;0,25;58702;8,78;6610;752,85;8,880786687;2;1.5;40,8;0;Marco;350;0,7146;1086,005;3,102871429;acajou.blanc;Khaya;anthotheca;321,5643564;101;0,6727054;0,490636364;0,070823262;species;11;Meliaceae,
5;Acajou blanc;Khaya anthotheca;Khaya;anthotheca;B;2;487,6349704;3,43;0,001795404;0,78;24,1;0,24;134384;18,51;12720;687,38;10,56477987;2;1.5;37;0;Marco;280;0,5742;883,206;3,154307143;acajou.blanc;Khaya;anthotheca;321,5643564;101;0,502713;0,490636364;0,070823262;species;11;Meliaceae,,
6;Acajou blanc;Khaya anthotheca;Khaya;anthotheca;B;3;458,2251413;2,55;0,001981072;0,7;21,3;0,23;106235;15,84;11130;702,87;9,54492363;2;1.5;38,8;0;Marco;600;1,3094;1939,014;3,23169;acajou.blanc;Khaya;anthotheca;321,5643564;101;1,1886429;0,490636364;0,070823262;species;11;Meliaceae,
7;Acajou blanc;Khaya anthotheca;Khaya;anthotheca;C;1;441,8604651;3,231;0,003023931;0,54;12,8;0,26;54273;8,86;6325;713,88;8,580711462;2;1.5;33;0;Marco;190;0,43;873,515;4,597447368;acajou.blanc;Khaya;anthotheca;321,5643564;101;0,5745469;0,490636364;0,070823262;species;11;Meliaceae,,
8;Acajou blanc;Khaya anthotheca;Khaya;anthotheca;C;2;389,8305085;3,707;0,002615724;0,56;14,7;0,29;80405;13,41;8495;633,72;9,4649794;2;1.5;25,2;0;Marco;230;0,59;842,963;3,665056522;acajou.blanc;Khaya;anthotheca;321,5643564;101;0,60161656;0,490636364;0,070823262;species;11;Meliaceae,
9;Acajou blanc;Khaya anthotheca;Khaya;anthotheca;C;3;250;5,534;0,003831762;0,53;13,9;0,28;112911;20,36;10530;517,19;10,72279202;2;1.5;26,1;0;Marco;60;0,24;311,521;5,192016667;acajou.blanc;Khaya;anthotheca;321,5643564;101;0,2299057;0,490636364;0,070823262;species;11;Meliaceae,,
10;Ako;Antiaris africana;Antiaris;africana;A;1;332,970916;3,203;0,004065388;2,2;0,9;0,53;6318;1,16;860;740,42;7,346511628;3;1;49,7;0;Marco;490;1,4716;2498,887;5,099769388;ako;Antiaris;toxicaria;175,7123288;365;1,99204;0,383052632;0,070823262;species;19;Moraceae,
11;Ako;Antiaris africana;Antiaris;africana;A;2;361,4457831;3,089;0,003489022;1,9;0,4;0,63;7145;1,45;1060;732,5;6,740566038;3;1;47,4;0;Marco;270;0,747;1344,164;4,978385185;ako;Antiaris;toxicaria;175,7123288;365;0,9420359;0,383052632;0,070823262;species;19;Moraceae,
12;Ako;Antiaris africana;Antiaris;africana;A;3;404,040404;2,428;0,007197358;1,8;0,8;0,49;7078;1,38;1020;741,82;6,939215686;3;1;53,6;0;Marco;80;0,198;535,393;6,6924125;ako;Antiaris;toxicaria;175,7123288;365;0,5757886;0,383052632;0,070823262;species;19;Moraceae,
13;Ako;Antiaris africana;Antiaris;africana;B;1;218,5976122;2,657;0,006097355;1;1,4;0,59;12482;2,77;1084,3;391,93;11,51157429;3;1;43,9;0;Marco;130;0,5947;1127,505;8,673115385;ako;Antiaris;toxicaria;175,7123288;365;0,7926562;0,383052632;0,070823262;species;19;Moraceae,
14;Ako;Antiaris africana;Antiaris;africana;B;2;276,2832631;3,02;0,004079726;0,83;0,7;0,55;5041;1,54;632;409,5;7,976265823;3;1;45,9;0;Marco;190;0,6877;1152,798;6,067357895;ako;Antiaris;toxicaria;175,7123288;365;0,77514786;0,383052632;0,070823262;species;19;Moraceae,
15;Ako;Antiaris africana;Antiaris;africana;B;3;278,4810127;2,816;0,003673253;0,9;0,8;0,49;3858;1,14;418,7;366,18;9,214234535;3;1;45,2;0;Marco;220;0,79;1160,099;5,273177273;ako;Antiaris;toxicaria;175,7123288;365;0,8081157;0,383052632;0,070823262;species;19;Moraceae
16;Ako;Antiaris africana;Antiaris;africana;C;1;346,9963132;3,892;0,012405626;1,21;0,8;0,53;6250;1,39;579,8;418,59;10,77957917;3;1;54;0;Marco;160;0,4611;1621,958;10,1372375;ako;Antiaris;toxicaria;175,7123288;365;1,9849001;0,383052632;0,070823262;species;19;Moraceae,
17;Ako;Antiaris africana;Antiaris;africana;C;2;291,5451895;3,168;0,004815416;1,67;0,8;0,55;7709;1,76;667,5;380,34;11,54906367;3;1;56,5;0;Marco;50;0,1715;351,684;7,03368;ako;Antiaris;toxicaria;175,7123288;365;0,2407708;0,383052632;0,070823262;species;19;Moraceae
18;Ako;Antiaris africana;Antiaris;africana;C;3;370,3703704;3,15;0,009459198;1,6;0,9;0,57;5130;1,32;557,3;422,96;9,205095999;3;1;53,2;0;Marco;90;0,243;779,707;8,663411111;ako;Antiaris;toxicaria;175,7123288;365;0,8513278;0,383052632;0,070823262;species;19;Moraceae
19;Asamoiake;Trichilia prieuriana;Trichilia;prieuriana;A;1;230,7692308;2,068;0,00749382;0,67;7,1;0,25;15313;3,13;1336;427,11;11,46182635;3;2;57,1;0;Marco;60;0,26;606,763;10,11271667;asamoiake;Trichilia;prieuriana;158,5640786;1069;0,44962922;0,663;0,070823262;species;1;Meliaceae,
20;Asamoiake;Trichilia prieuriana;Trichilia;prieuriana;A;2;327,5862069;2,683;0,003160194;0,65;6,3;0,25;12794;2,51;1040;414,67;12,30192308;3;2;60,5;0;Marco;190;0,58;968,268;5,096147368;asamoiake;Trichilia;prieuriana;158,5640786;1069;0,6004369;0,663;0,070823262;species;1;Meliaceae,
21;Asamoiake;Trichilia prieuriana;Trichilia;prieuriana;A;3;275,3623188;3,098;0,005371448;0,56;6,8;0,24;16203;3,17;1340;422,98;12,09179104;3;2;54,7;0;Marco;190;0,69;1478,84;7,783368421;asamoiake;Trichilia;prieuriana;158,5640786;1069;1,0205752;0,663;0,070823262;species;1;Meliaceae,
22;Asamoiake;Trichilia prieuriana;Trichilia;prieuriana;B;1;235,2941176;1,708;0,008713041;0,39;7,5;0,23;17664;3,01;1132;375,83;15,60424028;3;2;57,8;0;Marco;80;0,34;774,927;9,6865875;asamoiake;Trichilia;prieuriana;158,5640786;1069;0,69704324;0,663;0,070823262;species;1;Meliaceae,
23;Asamoiake;Trichilia prieuriana;Trichilia;prieuriana;B;2;244,8979592;2,469;0,00537202;0,39;5,1;0,21;14387;2,74;1174;428,15;12,25468484;3;2;53,5;0;Marco;120;0,49;968,806;8,073383333;asamoiake;Trichilia;prieuriana;158,5640786;1069;0,64464235;0,663;0,070823262;species;1;Meliaceae,
24;Asamoiake;Trichilia prieuriana;Trichilia;prieuriana;B;3;277,7777778;3,293;0,005733052;0,41;6,2;0,23;12674;2,06;827,5;401,21;15,31601208;3;2;59,3;0;Marco;50;0,18;385,07;7,7014;asamoiake;Trichilia;prieuriana;158,5640786;1069;0,2866526;0,663;0,070823262;species;1;Meliaceae
25;Asamoiake;Trichilia prieuriana;Trichilia;prieuriana;C;1;250;2,882;0,008055081;0,38;4,3;0,21;11743;1,81;606;335,55;19,37788779;3;2;58,1;0;Marco;50;0,2;535,168;10,70336;asamoiake;Trichilia;prieuriana;158,5640786;1069;0,40275404;0,663;0,070823262;species;1;Meliaceae,,
26;Asamoiake;Trichilia prieuriana;Trichilia;prieuriana;C;2;263,1578947;1,77;0,007103918;0,54;5,7;0,24;23234;4,35;1655;380,46;14,03867069;3;2;62,8;0;Marco;50;0,19;417,904;8,35808;asamoiake;Trichilia;prieuriana;158,5640786;1069;0,35519588;0,663;0,070823262;species;1;Meliaceae,
27;Asamoiake;Trichilia prieuriana;Trichilia;prieuriana;C;3;300;3,888;0,006341084;0,46;5,9;0,24;21987;3,33;1607,5;483,31;13,6777605;3;2;58,1;0;Marco;30;0,1;246,13;8,204333333;asamoiake;Trichilia;prieuriana;158,5640786;1069;0,19023252;0,663;0,070823262;species;1;Meliaceae,
