"";"ScientificName";"PetioleL";"LeafThickness";"LDMC";"SLA";"MeanDBH";"meanWD";"BarkTh";"RDMC";"RSL";"Dispers";"Deciduousness";"SPAD"
"1";"Khaya anthotheca";21,1555555555556;0,258888888888889;687,948888888889;148,293855555556;321,564356435644;0,490636363636364;0,586666666666667;431,851643053076;0,00240511314386651;"2";"1.5";43,7222222222222
"2";"Antiaris toxicaria";0,833333333333333;0,547777777777778;511,582222222222;14,4277666666667;175,712328767123;0,383052631578947;1,45666666666667;320,081207130231;0,00614248229501251;"3";"1";49,9333333333333
"3";"Trichilia prieuriana";6,1;0,233333333333333;407,696666666667;39,8625111111111;158,56407857811;0,663;0,494444444444444;267,205056205746;0,00637151749424951;"3";"2";57,9888888888889
"4";"Celtis mildbraedii";0,922222222222222;0,264444444444444;452,203333333333;15,7792222222222;340,897674418605;0,617571428571429;0,388888888888889;406,104528566306;0,00488012537371812;"3";"1.5";50,3444444444444
"5";"Mansonia altissima";3,2;0,424444444444444;622,246666666667;54,0065222222222;188,83147113594;0,564458333333333;1,29666666666667;470,297047995375;0,012991502724494;"2";"2";33,7444444444444
"6";"Eribroma oblongum";2,51111111111111;0,295555555555556;406;13,0535777777778;307,343049327354;0,638454545454545;0,99;286,74520190188;0,00987077065512902;"3";"1";43,7111111111111
"7";"Terminalia superba";2,46666666666667;0,317777777777778;533,125555555556;9,67267777777778;384,698529411765;0,458948275862069;0,758888888888889;380,888226242873;0,00538135690182008;"2";"1";49,3
"8";"Ceiba pentandra";11,5555555555556;0,223333333333333;528,431111111111;36,2597222222222;328,787276341948;0,305212121212121;2,10333333333333;507,217546532051;0,00712925452941328;"2";"1";37,9444444444444
"9";"Blighia welwitschii";2,41111111111111;0,332222222222222;464,015555555556;47,3794222222222;358;0,78575;1,01888888888889;429,870883891149;0,00615013147979091;"3";"2";39,0111111111111
"10";"Pachystela brevipes";6,22222222222222;0,257777777777778;371,884444444444;50,9025444444444;137,260869565217;0,714777960939882;0,391111111111111;325,10960360022;0,00883802604006734;"3";"2";55,2555555555556
"11";"Nesogordonia papaverifera";2,44444444444444;0,24;521,39;6,00372222222222;313,326978074357;0,645;0,543333333333333;496,345895446675;0,00514221557148268;"2";"2";44,6555555555556
