Slice,Count,Total Area,Average Size,%Area
Aboudikro 1 F1a 001,1,17516.053,17516.053,26.938
Aboudikro 1 F1b 001,1,16402.439,16402.439,25.225
Aboudikro 1 F2a 001,3,19927.969,6642.656,30.647
Aboudikro 1 F2b 001,4,25391.609,6347.902,39.049
Aboudikro 1 F2c 001,3,9458.883,3152.961,14.547
Aboudikro 1 F3a 001,4,13652.394,3413.099,20.996
Aboudikro 1 F3b 001,3,14502.299,4834.100,22.303
Aboudikro 1 F3c 001,3,10352.994,3450.998,15.922
Aboudikro 2 F1a 001,4,12065.337,3016.334,18.555
Aboudikro 2 F1b 001,2,21893.074,10946.537,33.669
Aboudikro 2 F1c 001,3,23303.787,7767.929,35.838
Aboudikro 2 F1d 001,3,21961.312,7320.437,33.774
Aboudikro 2 F2a 001,3,21212.512,7070.837,32.622
Aboudikro 2 F2b 001,4,17303.928,4325.982,26.611
Aboudikro 2 F3a 001,4,12972.061,3243.015,19.949
Aboudikro 2 F3b 001,3,19061.212,6353.737,29.314
Aboudikro 2 F3c 001,2,20589.733,10294.867,31.664
Aboudikro 2 F3d 001,2,15845.526,7922.763,24.368
Aboudikro 3 F1a 001,2,22042.621,11021.311,33.899
Aboudikro 3 F1b 001,3,22330.362,7443.454,34.341
Aboudikro 3 F1c 001,4,21997.501,5499.375,33.829
Aboudikro 3 F2a 001,3,25003.221,8334.407,38.452
Aboudikro 3 F2b 001,1,17398.947,17398.947,26.757
Aboudikro 3 F2c 001,3,29310.860,9770.287,45.076
Aboudikro 3 F2d 001,3,31110.435,10370.145,47.844
Aboudikro 3 F2e 001,3,20132.077,6710.692,30.961
Aboudikro 3 F2f 001,2,15882.435,7941.218,24.425
Aboudikro 3 F3a 001,4,21717.204,5429.301,33.398
Aboudikro 3 F3b 001,3,25594.507,8531.502,39.361
Aboudikro 3 F3c 001,3,26381.835,8793.945,40.572
Aboudikro 3 F3d 001,3,23561.785,7853.928,36.235
Aboudikro 3 F3e 001,5,18824.678,3764.936,28.950
Adaschia 1 F1 001,1,8158.634,8158.634,12.547
Adaschia 1 F2 001,1,4132.389,4132.389,6.355
Adaschia 1 F3 001,1,6568.894,6568.894,10.102
Adaschia 2 F1 001,1,3018.760,3018.760,4.642
Adaschia 2 F2 001,1,4283.802,4283.802,6.588
Adaschia 2 F3 001,1,6284.360,6284.360,9.665
Adaschia 3 F1 001,1,4690.087,4690.087,7.213
Adaschia 3 F2 001,1,3786.685,3786.685,5.823
Adaschia 3 F3 001,1,6626.841,6626.841,10.191
Akatio 1 F1 001,1,6137.626,6137.626,9.439
Akatio 1 F2 001,1,7341.188,7341.188,11.290
Akatio 1 F3 001,1,11036.239,11036.239,16.972
Akatio 2 F1 001,1,4287.941,4287.941,6.594
Akatio 2 F2 001,1,6200.236,6200.236,9.535
Akatio 2 F3 001,1,4603.396,4603.396,7.079
Akatio 3 F1 001,1,5858.098,5858.098,9.009
Akatio 3 F2 001,1,5637.793,5637.793,8.670
Akatio 3 F3 001,1,16272.818,16272.818,25.026
Akossika 1 F1 001,1,4902.212,4902.212,7.539
Akossika 1 F2 001,1,4335.598,4335.598,6.668
Akossika 1 F3 001,1,5408.262,5408.262,8.317
Akossika 2 F1 001,1,4013.452,4013.452,6.172
Akossika 2 F2 001,1,4575.174,4575.174,7.036
Akossika 2 F3 001,1,4006.188,4006.188,6.161
Akossika 3 F1 001,1,5156.398,5156.398,7.930
Akossika 3 F2 001,1,4015.382,4015.382,6.175
Akossika 3 F3 001,1,4885.721,4885.721,7.514
Asan 1 F1 001,1,3860.240,3860.240,5.937
Asan 1 F2 001,1,4035.194,4035.194,6.206
Asan 1 F3 001,1,5099.515,5099.515,7.842
Asan 2 F1 001,1,3803.258,3803.258,5.849
Asan 2 F2 001,1,5078.165,5078.165,7.810
