"";"OldVernacular";"OldScientificName";"Oldgenus";"Oldspecies";"TreeID";"SampleID";"RDMC";"RootAverageLenght";"RSL";"BarkTh";"PetioleL";"LeafThickness";"LeafArea";"FreshWeight";"DryWeight";"LDMC";"SLA";"Dispers";"Deciduousness";"SPAD";"Filled";"Operator";"Rootdryweight";"Rootfreshweight";"RootsArea";"RSA";"field_name";"genus";"species";"MeanDBH";"N";"Roots_length";"meanWD";"sdWD";"levelWD";"nInd";"family"
"1";"Acajou blanc";"Khaya anthotheca";"Khaya";"anthotheca";"A";"1";437,828371278459;4,994;0,21859888;0,54;28,8;0,27;189342;33,44;27510;822,79;6,88266085059978;"2";"1.5";65,7;"0";"Marco";750;1,713;1914,091;2,55212133333333;"acajou.blanc";"Khaya";"anthotheca";321,564356435644;101;163,94916;0,490636363636364;0,0708232617216773;"species";11;"Meliaceae"
"2";"Acajou blanc";"Khaya anthotheca";"Khaya";"anthotheca";"A";"2";454,89006823351;5,215;0,248042761904762;0,5;25,7;0,27;93819;18,75;12280;654,93;7,63998371335505;"2";"1.5";60,9;"0";"Marco";420;0,9233;1213,265;2,88872619047619;"acajou.blanc";"Khaya";"anthotheca";321,564356435644;101;104,17796;0,490636363636364;0,0708232617216773;"species";11;"Meliaceae"
"3";"Acajou blanc";"Khaya anthotheca";"Khaya";"anthotheca";"A";"3";476,610767872904;3,647;0,417325777777778;0,52;32,5;0,24;81490;12,14;8570;705,93;9,50875145857643;"2";"1.5";66;"0";"Marco";270;0,5665;1043,786;3,86587407407407;"acajou.blanc";"Khaya";"anthotheca";321,564356435644;101;112,67796;0,490636363636364;0,0708232617216773;"species";11;"Meliaceae"
"4";"Acajou blanc";"Khaya anthotheca";"Khaya";"anthotheca";"B";"1";489,784494822278;2,591;0,262348685714286;0,61;16,6;0,25;58702;8,78;6610;752,85;8,88078668683812;"2";"1.5";40,8;"0";"Marco";350;0,7146;1086,005;3,10287142857143;"acajou.blanc";"Khaya";"anthotheca";321,564356435644;101;91,82204;0,490636363636364;0,0708232617216773;"species";11;"Meliaceae"
"5";"Acajou blanc";"Khaya anthotheca";"Khaya";"anthotheca";"B";"2";487,634970393591;3,43;0,245066589285714;0,78;24,1;0,24;134384;18,51;12720;687,38;10,5647798742138;"2";"1.5";37;"0";"Marco";280;0,5742;883,206;3,15430714285714;"acajou.blanc";"Khaya";"anthotheca";321,564356435644;101;68,618645;0,490636363636364;0,0708232617216773;"species";11;"Meliaceae"
"6";"Acajou blanc";"Khaya anthotheca";"Khaya";"anthotheca";"B";"3";458,225141286085;2,55;0,2704096;0,7;21,3;0,23;106235;15,84;11130;702,87;9,54492362982929;"2";"1.5";38,8;"0";"Marco";600;1,3094;1939,014;3,23169;"acajou.blanc";"Khaya";"anthotheca";321,564356435644;101;162,24576;0,490636363636364;0,0708232617216773;"species";11;"Meliaceae"
"7";"Acajou blanc";"Khaya anthotheca";"Khaya";"anthotheca";"C";"1";441,860465116279;3,231;0,412756473684211;0,54;12,8;0,26;54273;8,86;6325;713,88;8,58071146245059;"2";"1.5";33;"0";"Marco";190;0,43;873,515;4,59744736842105;"acajou.blanc";"Khaya";"anthotheca";321,564356435644;101;78,42373;0,490636363636364;0,0708232617216773;"species";11;"Meliaceae"
"8";"Acajou blanc";"Khaya anthotheca";"Khaya";"anthotheca";"C";"2";389,830508474576;3,707;0,357037586956522;0,56;14,7;0,29;80405;13,41;8495;633,72;9,46497939964685;"2";"1.5";25,2;"0";"Marco";230;0,59;842,963;3,66505652173913;"acajou.blanc";"Khaya";"anthotheca";321,564356435644;101;82,118645;0,490636363636364;0,0708232617216773;"species";11;"Meliaceae"
"9";"Acajou blanc";"Khaya anthotheca";"Khaya";"anthotheca";"C";"3";250;5,534;0,523022583333333;0,53;13,9;0,28;112911;20,36;10530;517,19;10,722792022792;"2";"1.5";26,1;"0";"Marco";60;0,24;311,521;5,19201666666667;"acajou.blanc";"Khaya";"anthotheca";321,564356435644;101;31,381355;0,490636363636364;0,0708232617216773;"species";11;"Meliaceae"
"10";"Ako";"Antiaris africana";"Antiaris";"africana";"A";"1";332,970916009785;3,203;0,554911775510204;2,2;0,9;0,53;6318;1,16;860;740,42;7,34651162790698;"3";"1";49,7;"0";"Marco";490;1,4716;2498,887;5,0997693877551;"ako";"Antiaris";"toxicaria";175,712328767123;365;271,90677;0,383052631578947;0,0708232617216773;"species";19;"Moraceae"
"11";"Ako";"Antiaris africana";"Antiaris";"africana";"A";"2";361,44578313253;3,089;0,476239814814815;1,9;0,4;0,63;7145;1,45;1060;732,5;6,74056603773585;"3";"1";47,4;"0";"Marco";270;0,747;1344,164;4,97838518518518;"ako";"Antiaris";"toxicaria";175,712328767123;365;128,58475;0,383052631578947;0,0708232617216773;"species";19;"Moraceae"
"12";"Ako";"Antiaris africana";"Antiaris";"africana";"A";"3";404,040404040404;2,428;0,98241525;1,8;0,8;0,49;7078;1,38;1020;741,82;6,93921568627451;"3";"1";53,6;"0";"Marco";80;0,198;535,393;6,6924125;"ako";"Antiaris";"toxicaria";175,712328767123;365;78,59322;0,383052631578947;0,0708232617216773;"species";19;"Moraceae"
"13";"Ako";"Antiaris africana";"Antiaris";"africana";"B";"1";218,597612241466;2,657;0,832268584615385;1;1,4;0,59;12482;2,77;1084,3;391,93;11,5115742875588;"3";"1";43,9;"0";"Marco";130;0,5947;1127,505;8,67311538461539;"ako";"Antiaris";"toxicaria";175,712328767123;365;108,194916;0,383052631578947;0,0708232617216773;"species";19;"Moraceae"
