"";"ScientificName";"PetioleL";"LeafThickness";"LDMC";"SLA";"MeanDBH";"meanWD";"BarkTh";"RDMC";"RSL";"Dispers";"Deciduousness";"SPAD"
"1";"Khaya anthotheca";21,1555555555556;0,258888888888889;687,948888888889;9,08781878870021;321,564356435644;0,490636363636364;0,586666666666667;431,851643053076;0,328289882072956;2;15;43,7222222222222
"2";"Antiaris toxicaria";0,833333333333333;0,547777777777778;511,582222222222;9,02912298132598;175,712328767123;0,383052631578947;1,45666666666667;320,081207130231;0,838428244592291;3;1;49,9333333333333
"3";"Trichilia prieuriana";6,1;0,233333333333333;407,696666666667;14,0138662950836;158,56407857811;0,663;0,494444444444444;267,205056205746;0,86969078451267;3;2;57,9888888888889
"4";"Celtis mildbraedii";0,922222222222222;0,264444444444444;452,203333333333;17,4292185431151;340,897674418605;0,617571428571429;0,388888888888889;406,104528566306;0,666120763365958;3;15;50,3444444444444
"5";"Mansonia altissima";3,2;0,424444444444444;622,246666666667;14,261097679305;188,83147113594;0,564458333333333;1,29666666666667;470,297047995375;1,77329657645178;2;2;33,7444444444444
"6";"Eribroma oblongum";2,51111111111111;0,295555555555556;406;12,6022778431188;307,343049327354;0,638454545454545;0,99;286,74520190188;1,34732716166532;3;1;43,7111111111111
"7";"Terminalia superba";2,46666666666667;0,317777777777778;533,125555555556;10,8300517738747;384,698529411765;0,458948275862069;0,758888888888889;380,888226242873;0,734537213042929;2;1;49,3
"8";"Ceiba pentandra";11,5555555555556;0,223333333333333;528,431111111111;10,5292518690921;328,787276341948;0,305212121212121;2,10333333333333;507,217546532051;0,973119375146413;2;1;37,9444444444444
"9";"Blighia welwitschii";2,41111111111111;0,332222222222222;464,015555555556;11,0631314248587;358;0,78575;1,01888888888889;429,870883891149;0,839472346798282;3;2;39,0111111111111
"10";"Pachystela brevipes";6,22222222222222;0,257777777777778;371,884444444444;14,1990744677622;137,260869565217;0,714777960939882;0,391111111111111;325,10960360022;1,20636095394781;3;2;64,8555555555556
"11";"Nesogordonia papaverifera";2,44444444444444;0,24;521,39;11,7840524258008;313,326978074357;0,645;0,543333333333333;496,345895446675;0,70189519292268;2;2;44,6555555555556
"12";"Pterygota macrocarpa";10,2888888888889;0,255555555555556;616,932222222222;15,5559133118603;252,75;0,49325;1,24555555555556;388,201620329352;0,687514416396455;2;1;54,4
"13";"Lannea welwitschii";9,6;0,315555555555556;418,877777777778;9,91394351246593;234,331018518519;0,405333333333333;0,73;350,679542548862;1,01911544872577;3;15;59,8111111111111
"14";"Sterculia rhinopetala";4,82222222222222;0,247777777777778;614,851111111111;12,533119062584;406,157723577236;0,673;1,19777777777778;562,064931198751;0,674370422053918;3;1;43,1333333333333
"15";"Cola gigantea";10,4666666666667;0,557777777777778;369,787777777778;8,48028979605161;233,115044247788;0,48;1,11111111111111;380,374720159724;0,353494794747985;1;2;48,3888888888889
"16";"Erythrina mildbraedii";11,3;0,281666666666667;428,451666666667;14,4001678223325;480,833333333333;0,289050724637681;1,705;428,324915824916;1,05874866666667;1;1;45,15
"17";"Ficus variifolia";3,03333333333333;0,431111111111111;405,816666666667;9,80761993531805;390,416666666667;0,405534661835749;0,685555555555556;280,005686873128;1,59730474208424;3;2;42,2
"18";"Triplochiton scleroxylon";4,54444444444444;0,28;626,785555555556;11,4154981972889;504,110594795539;0,3345;0,812222222222222;402,844237567938;1,22905394866735;2;1;44,8222222222222
"19";"Ricinodendron heudelotii";16,3555555555556;0,411111111111111;234,861111111111;19,4650191315054;367,083775185578;0,2106;0,825555555555556;256,58624641815;0,198993087005658;3;1;51,0577777777778
"20";"Baphia nitida";0,922222222222222;0,233333333333333;430,833333333333;21,4446197280096;149,611111111111;0,559;0,447777777777778;488,271965661664;0,54109962492521;3;2;48,8222222222222
"21";"Trema orientalis";1,25555555555556;0,433333333333333;356,208888888889;18,5582904522189;124,869565217391;0,345333333333333;0,398888888888889;438,501835028334;0,876885013643919;3;2;44,4666666666667
"22";"Newbouldia laevis";12,4333333333333;0,355555555555556;302,867777777778;16,3890811445179;148,658256880734;0,565745691358025;0,77;312,516716571318;0,462255679412259;3;2;51,0888888888889
"23";"Sterculia tragacantha";3,24666666666667;0,5;455,771111111111;13,2177998231894;219,032786885246;0,404821666666667;0,742222222222222;326,934876271718;0,881099872820886;3;1;43,4888888888889
"24";"Diospyros viridicans";1,34444444444444;0,366666666666667;390,473333333333;12,57017173451;144,507692307692;0,683275126262626;0,48;488,017049441555;0,642233149652125;3;2;51,3888888888889
"25";"Trichilia monadelpha";10,2333333333333;0,344444444444444;376,482222222222;18,1467063407463;164,118421052632;0,481;0,325555555555556;543,466307884984;0,640881680273821;3;2;55,5444444444444
"26";"Chrysophyllum africanum";1,68888888888889;0,288888888888889;505,803333333333;11,1416247275028;447,5;0,609888888888889;0,467777777777778;463,129899871888;0,570370963941508;3;2;58,1111111111111
"27";"Holoptelea grandis";1,36666666666667;0,233333333333333;311,583333333333;20,6897752058504;292,597315436242;0,594333333333333;0,507777777777778;367,104633580246;0,594203918420596;3;1;40,6222222222222
"28";"Distemonanthus benthamianus";4,04444444444444;0,188888888888889;359,831111111111;20,7874746632885;224,05504587156;0,604571428571429;0,383333333333333;1959,84632423246;0,355005288933658;2;2;31,3444444444444
"29";"Funtumia africana";0,855555555555556;0,355555555555556;291,552222222222;18,9363672814512;154,849056603774;0,424;0,346666666666667;510,012234955181;0,424484493566213;3;2;53,8666666666667
"30";"Ficus exasperata";1,68888888888889;0,633333333333333;300,706666666667;22,7194342854903;259,728571428571;0,344;0,478888888888889;365,546759084573;1,38571461659299;3;1;43,3777777777778
"31";"Scottellia klaineana";1,12222222222222;0,388888888888889;464,12;8,9689988081902;365,09900990099;0,57575;0,56;468,746531717187;0,483816374739205;3;2;51,1222222222222
"32";"Entandrophragma cylindricum";9,95555555555556;0,366666666666667;389,318888888889;11,9749956439219;430,732558139535;0,5715;0,573333333333333;404,458796307174;0,529510935460021;2;1;59,8555555555556
"33";"Celtis zenkeri";0,622222222222222;0,322222222222222;294,771111111111;22,7406754864697;304,537284894837;0,6085;0,497777777777778;790,157341460704;0,762342944089373;3;1;36,4777777777778
"34";"Milicia excelsa";4;0,422222222222222;372,908888888889;13,5779412902644;404,659340659341;0,57444;0,462222222222222;382,105642539391;0,620450725235587;3;1;40,7888888888889
"35";"Morus mesozygia";2,22222222222222;0,288888888888889;1400,35888888889;17,2915156715107;265,645161290323;0,723555555555556;0,472222222222222;428,241420938562;0,710633467854817;3;1;35,0333333333333
"36";"Alstonia boonei";6,64444444444444;0,233333333333333;284,853333333333;16,8430512267322;390,287878787879;0,3214;0,545555555555556;388,118841893449;0,646361083682485;3;2;48,6888888888889
"37";"Corynanthe pachyceras";2,19166666666667;0,366666666666667;452,35;13,9330148330831;228,741379310345;0,672333333333333;0,420833333333333;481,062684364548;0,389293389922695;3;2;55,0166666666667
"38";"Ficus mucuso";2,43333333333333;0,511111111111111;289,267777777778;15,2861893100213;374,74358974359;0,409;0,772222222222222;469,369547579154;0,840700054859641;3;2;48,2333333333333
