"";"IDtree";"former_id";"dbh";"Essence_ID";"NomLatin";"NomVernaculaire"
"1";"1_1_1_11";550;222;"LOL";"Lannea welwitschii";"Loloti"
"2";"1_1_12_15";865;330;"ACA";"Khaya ivorensis , anthotheca";"Acajou blanc"
"3";"1_1_14_14";860;130;"IRO";"Chlorophora regia, C. excelsa";"Iroko"
"4";"1_1_14_19";801;124;"LOT";"Sterculia rhinopetala";"Lotofa"
"5";"1_1_14_23";603;270;"EMI";"Alstonia congensis";"Emien"
"6";"1_1_18_1";119;119;"BET";"Mansonia altissima";"Bete"
"7";"1_1_19_7";227;550;"FRO";"Ceiba pentandra";"Fromager"
"8";"1_1_24_10";564;272;"ILO";"Pycnanthus angolensis";"Ilomba"
"9";"1_1_25_12";752;395;"EHO";"Ricinodendron africanum";"Eho"
"10";"1_1_25_2";290;157;"AKA";"Scottelia sp.";"Akossika"
"11";"1_1_25_3";289;220;"MOV";"Distemonanthus benthamianus";"Movingui"
"12";"1_2_12_12";184;3000;"POU";"Funtumia sp.";"Pouo"
"13";"1_2_13_21";195;500;"AKT";"Gambeya africana";"Akatio"
"14";"1_2_15_3";853;232;"EHO";"Ricinodendron africanum";"Eho"
"15";"1_2_16_10";510;397;"EHO";"Ricinodendron africanum";"Eho"
"16";"1_2_16_12";602;500;"FRO";"Ceiba pentandra";"Fromager"
"17";"1_2_17_15";603;178;"BA";"Celtis mildbraedii";"Ba"
"18";"1_2_17_2";106;146;"ABO";"Entandrophragma cylindricum";"Sapelli"
"19";"1_2_17_8";258;1540;"EHO";"Ricinodendron africanum";"Eho"
"20";"1_2_18_1";251;234;"BA";"Celtis mildbraedii";"Ba"
"21";"1_2_20_6";869;204;"EHO";"Ricinodendron africanum";"Eho"
"22";"1_2_21_2";751;193;"LOT";"Sterculia rhinopetala";"Lotofa"
"23";"1_2_21_3";558;205;"LOT";"Sterculia rhinopetala";"Lotofa"
"24";"1_2_23_1";863;382;"EHO";"Ricinodendron africanum";"Eho"
