image,diam_max,diam_mean,diam_mode,length,area,width,depth,width_depth_ratio,com_x,com_y,ellips_025,ellips_050,ellips_075,ellips_100,rect_020,rect_040,rect_060,rect_080,directionality,tip_count,cross_hori_0_mean,cross_hori_0_max,cross_hori_1_mean,cross_hori_1_max,cross_hori_2_mean,cross_hori_2_max,cross_hori_3_mean,cross_hori_3_max,cross_hori_4_mean,cross_hori_4_max,cross_hori_5_mean,cross_hori_5_max,cross_hori_6_mean,cross_hori_6_max,cross_hori_7_mean,cross_hori_7_max,cross_hori_8_mean,cross_hori_8_max,cross_hori_9_mean,cross_hori_9_max,cross_hori_10_mean,cross_hori_10_max,cross_hori_11_mean,cross_hori_11_max,cross_hori_12_mean,cross_hori_12_max,cross_hori_13_mean,cross_hori_13_max,cross_hori_14_mean,cross_hori_14_max,cross_hori_15_mean,cross_hori_15_max,cross_hori_16_mean,cross_hori_16_max,cross_hori_17_mean,cross_hori_17_max,cross_hori_18_mean,cross_hori_18_max,cross_hori_19_mean,cross_hori_19_max,cross_hori_20_mean,cross_hori_20_max,cross_hori_21_mean,cross_hori_21_max,cross_hori_22_mean,cross_hori_22_max,cross_hori_23_mean,cross_hori_23_max,cross_hori_24_mean,cross_hori_24_max,cross_hori_25_mean,cross_hori_25_max,cross_hori_26_mean,cross_hori_26_max,cross_hori_27_mean,cross_hori_27_max,cross_hori_28_mean,cross_hori_28_max,cross_hori_29_mean,cross_hori_29_max,cross_vert_mean,cross_vert_max,convexhull,coord_x0,coord_x1,coord_x2,coord_x3,coord_x4,coord_x5,coord_x6,coord_x7,coord_x8,coord_x9,coord_x10,coord_x11,coord_x12,coord_x13,coord_x14,coord_x15,coord_x16,coord_x17,coord_x18,coord_x19,diff_x0,diff_x1,diff_x2,diff_x3,diff_x4,diff_x5,diff_x6,diff_x7,diff_x8,diff_x9,cumul_x0,cumul_x1,cumul_x2,cumul_x3,cumul_x4,cumul_x5,cumul_x6,cumul_x7,cumul_x8,cumul_x9
Aboudikro 1 R1 001.tif,0.102564104,0.033498947,0.012820513,28.384615,148.94872,20.333334,19.871796,1.0232258,0.5934301,0.1955309,10.011275,30.707523,51.876656,67.767944,38.907814,39.048977,39.458084,39.459373,25.67796,91.0,0.123809524,7.0,0.20714286,9.0,0.34047619,8.0,0.50476193,9.0,0.8833333,18.0,1.3833333,20.0,1.6761905,29.0,2.0666666,22.0,2.307143,29.0,2.3761904,22.0,2.4880953,29.0,2.5833333,22.0,2.4976192,29.0,2.6,22.0,2.5142858,29.0,2.6,22.0,2.4190476,29.0,2.4261904,22.0,2.2309523,29.0,2.1690476,22.0,1.8095238,29.0,1.3571428,22.0,1.0404762,15.0,0.6452381,21.0,0.31904763,10.0,0.23333333,10.0,0.14761905,10.0,0.026190476,4.0,0.026190476,3.0,0.04047619,4.0,5.865922,50.0,3974600.0,0.005044136,0.66456497,0.3556116,0.0,0.0,0.0,0.0,0.0,0.0,0.91677177,0.9211854,1.0,1.0,1.0,1.0,1.0,1.0,0.7017654,0.67969733,0.6406053,0.63556117,0.015132409,0.34615386,1.0,1.0,1.0,1.0,1.0,1.0,0.004413619,0.63556117,0.6506936,0.99684745,1.9968474,2.9968474,3.9968474,4.996847,5.996847,6.996847,7.0012608
Aboudikro 1 R2 001.tif,0.21794872,0.050575692,0.012820513,82.14103,570.85895,18.038462,29.25641,0.6165644,0.50917655,0.39897543,3.544995,10.003302,17.348911,24.743301,14.439419,13.7691965,14.127226,14.430727,54.981888,198.0,0.21212122,1.0,0.045454547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060606062,1.0,0.060606062,1.0,2.1060605,16.0,15.30303,54.0,23.636364,54.0,9.560606,52.0,0.121212125,3.0,0.54545456,2.0,2.1818182,11.0,7.242424,25.0,12.075758,30.0,7.742424,25.0,2.5,20.0,0.92424244,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6060606,3.0,7.9722223,47.0,3974600.0,0.17768301,0.0,0.0,0.31911868,0.73489696,0.17768301,0.0,0.0,0.0,0.7398721,0.7469794,1.0,1.0,1.0,0.66453445,0.7420043,0.60838664,1.0,1.0,0.17910448,0.0014214641,1.0,1.0,0.28926796,0.0071073207,0.48685145,1.0,1.0,1.0,0.0071073207,0.0014214641,1.0014215,2.0014215,2.2906895,2.2977967,2.7846482,3.7846482,4.784648,5.784648,5.791755
Aboudikro 1 R3 001.tif,0.53846157,0.05656969,0.012820513,213.39743,1394.9487,18.307692,23.871796,0.7669173,0.35929134,0.38625875,1.1738323,3.0434628,5.612843,8.381799,4.7813263,4.4995403,4.4549475,4.8471317,35.253365,488.0,0.3469388,7.0,0.8244898,7.0,1.7265307,20.0,3.1632652,29.0,4.355102,29.0,6.1591835,29.0,9.816326,43.0,11.926531,43.0,13.277551,43.0,14.865306,43.0,16.191837,43.0,16.159184,43.0,17.387754,43.0,17.571428,43.0,15.914286,45.0,15.32653,45.0,15.681633,45.0,16.212244,46.0,14.857142,46.0,13.62449,46.0,11.420408,46.0,9.387755,46.0,7.3469386,46.0,6.0285716,46.0,3.8734694,46.0,1.4653062,22.0,0.54285717,7.0,0.40816328,7.0,0.26122448,7.0,0.18775511,18.0,20.851759,88.0,3974600.0,0.63095236,0.5539216,0.197479,0.19257703,0.14635855,0.24229692,0.5441176,0.0,0.0,0.86484593,0.86764705,1.0,1.0,0.5539216,0.57563025,0.77240896,0.517507,0.63165265,0.57913166,0.66036415,0.029411765,0.025210084,0.43417367,0.32492998,0.6260504,0.33333334,0.009803922,1.0,1.0,0.0028011205,0.029411765,0.05462185,0.48879552,0.8137255,1.439776,1.7731093,1.7829132,2.7829132,3.7829132,3.7857144
Aboudikro 2 R1 001.tif,0.12820514,0.048272897,0.051282052,32.5,265.60257,18.333334,27.666666,0.6626506,0.45935294,0.49034688,7.328281,21.631317,35.937927,51.12772,29.79746,29.581938,29.246464,29.659603,48.163864,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,2.3333333,17.0,2.2222223,6.0,3.8333333,13.0,1.3333334,4.0,1.3888888,5.0,2.4166667,9.0,3.1111112,11.0,3.1944444,11.0,4.138889,12.0,3.2777777,11.0,1.1111112,5.0,1.1111112,4.0,2.6111112,9.0,0.5277778,6.0,0.16666667,5.0,0.5,7.0,0.0,0.0,0.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,7.0,3.6035502,37.0,3974600.0,0.0,0.005594406,0.0,0.4237762,0.28111887,0.28181818,0.33286715,0.0,0.0,0.9797203,0.98111886,1.0,1.0,0.34825176,0.61328673,0.2881119,0.43916085,1.0,0.014685315,1.0,1.0,0.009090909,1.0,0.015384615,0.006993007,0.33146852,0.015384615,1.0,1.0,0.0013986015,1.0,1.0090909,2.009091,2.0244756,2.0314686,2.3629372,2.378322,3.378322,4.3783216,4.37972
Aboudikro 2 R2 001.tif,0.15384616,0.028782943,0.012820513,118.96154,531.9359,18.538462,24.97436,0.7422998,0.61324906,0.4788007,3.2259767,9.775951,16.11887,21.59854,12.574173,12.409293,12.242607,12.447736,21.221977,297.0,0.12162162,4.0,0.25675675,5.0,0.5945946,5.0,0.8581081,5.0,1.0472972,7.0,2.1824324,13.0,3.6013513,36.0,4.641892,36.0,5.966216,36.0,7.6554055,36.0,7.939189,36.0,7.1013513,19.0,7.168919,19.0,5.9054055,17.0,5.0202703,13.0,5.074324,13.0,5.925676,27.0,6.033784,27.0,6.8513513,27.0,7.75,27.0,7.9797297,27.0,7.0135136,16.0,6.3513513,15.0,5.0945945,15.0,4.6283784,12.0,4.108108,12.0,4.8445945,18.0,3.8986487,18.0,3.0608108,18.0,2.445946,18.0,10.606061,63.0,3974600.0,0.015905948,0.61618257,0.28354082,0.35131398,0.35200554,0.54080224,0.5055325,0.45643154,0.0,0.0,1.0,1.0,0.5560166,0.7406639,0.7904564,0.84232366,0.5387275,0.6016598,0.62033194,0.019363763,0.0034578147,0.004149378,0.31811896,0.18741356,0.49031812,0.24965422,0.2351314,0.099585064,1.0,1.0,0.0034578147,0.0076071927,0.32572615,0.5131397,1.0034578,1.253112,1.4882433,1.5878284,2.5878284,3.5878284
Aboudikro 2 R3 001.tif,0.14102565,0.03612745,0.025641026,38.73077,226.61539,16.679487,22.333334,0.7468427,0.43960354,0.4192932,6.218432,18.664064,30.897036,43.97341,25.515953,25.570774,25.011936,25.657558,12.936932,90.0,0.17872341,3.0,0.49787235,11.0,0.9617021,12.0,1.2595744,12.0,1.3914894,12.0,1.519149,12.0,1.6425532,12.0,1.6595745,12.0,1.493617,12.0,1.2893617,12.0,0.98723406,6.0,1.0425532,14.0,1.306383,14.0,1.7914894,21.0,2.3702128,21.0,3.1659575,21.0,3.8510637,24.0,4.242553,24.0,4.2468085,24.0,3.8893616,24.0,3.5276597,24.0,2.93617,24.0,2.2340426,24.0,1.493617,24.0,0.7574468,8.0,0.30638298,6.0,0.12765957,6.0,0.114893615,6.0,0.08085106,6.0,0.24255319,6.0,5.215768,35.0,3974600.0,0.567256,0.4980784,0.5057648,0.13297464,0.13528055,0.18370484,0.0,0.0,0.0,0.9846272,0.9861645,1.0,1.0,1.0,0.49423522,0.6940815,0.1383551,0.5080707,0.518063,0.58800924,0.020753266,0.019984627,0.0023059186,0.0053804764,0.55880094,0.31053036,1.0,1.0,1.0,0.001537279,0.020753266,0.040737893,0.04304381,0.04842429,0.60722524,0.9177556,1.9177556,2.9177556,3.9177556,3.919293
Aboudikro 3 R1 001.tif,0.17948718,0.082771525,0.012820513,47.102566,588.20514,14.538462,18.833334,0.7719537,0.45794925,0.5392427,1.7855493,5.006757,8.563601,12.188601,7.134568,7.0724936,7.094246,6.9454665,31.349855,75.0,0.01923077,2.0,0.03846154,2.0,0.16826923,6.0,0.28846154,6.0,0.41826922,6.0,0.6923077,6.0,0.8125,6.0,1.0865384,16.0,1.2115384,16.0,1.3509616,16.0,1.5673077,16.0,1.6634616,16.0,1.6586539,16.0,1.7596154,16.0,1.8028846,16.0,1.6442307,11.0,1.6586539,11.0,1.8076923,11.0,2.1682692,11.0,3.2451923,45.0,3.6442308,45.0,3.75,45.0,3.875,45.0,3.9759614,45.0,4.0673075,45.0,4.2115383,45.0,4.1875,45.0,3.9375,29.0,3.5625,23.0,3.4326923,23.0,3.9526813,50.0,3974600.0,0.0,0.2345679,0.35626101,0.4585538,0.5326279,0.55291003,0.32451499,0.59611994,0.58201057,0.0,1.0,0.70194006,0.61199296,0.59435624,0.5749559,0.55291003,0.49382716,0.37477955,0.25661376,1.0,1.0,0.022045854,0.018518519,0.03527337,0.020282187,0.022045854,0.26984128,0.015873017,0.119929455,1.0,1.0,1.0220459,1.0405644,1.0758377,1.0961199,1.1181657,1.388007,1.4038801,1.5238096,2.5238094
Aboudikro 3 R2 001.tif,0.43589744,0.1278005,0.012820513,64.17949,1075.7307,14.089744,18.884615,0.7460964,0.39421105,0.4967298,0.7961672,2.5960648,4.3831744,6.383913,3.7309043,3.6563933,3.655428,3.4663734,42.257973,95.0,0.062801935,6.0,0.09178744,8.0,0.096618354,6.0,0.41545895,53.0,0.77294683,15.0,1.0289855,53.0,1.2608696,20.0,1.7971015,53.0,2.1014493,20.0,2.2077296,53.0,2.9130435,24.0,3.415459,53.0,3.9565217,25.0,4.3188405,25.0,4.8405795,27.0,4.285024,25.0,4.236715,27.0,4.0434785,25.0,4.4879227,27.0,4.9516907,33.0,7.0917873,39.0,5.9516907,49.0,5.888889,39.0,5.3768115,49.0,5.8164253,39.0,5.5120773,49.0,5.4927535,39.0,4.400966,49.0,2.52657,34.0,0.89855075,7.0,6.929412,44.0,3974600.0,0.5741583,0.0,0.37124658,0.21383075,0.18380345,0.29572338,0.28844404,0.26933575,0.0,0.0,1.0,1.0,0.30027297,0.77070063,0.32848042,0.3057325,0.35395813,0.42038217,1.0,0.5832575,0.009099181,1.0,0.049135577,0.14012739,0.12192903,0.03275705,0.4822566,0.030937215,1.0,1.0,0.009099181,1.0090991,1.0582347,1.1983621,1.3202912,1.3530482,1.8353047,1.8662419,2.866242,3.866242
Aboudikro 3 R3 001.tif,0.21794872,0.069935344,0.012820513,50.94872,548.9359,15.294871,19.26923,0.7937458,0.48482445,0.62043387,2.0390265,6.037602,9.800103,14.179648,8.383539,8.182941,8.212066,7.937805,68.328804,83.0,0.043062203,3.0,0.043062203,3.0,0.043062203,3.0,0.043062203,3.0,0.043062203,3.0,0.043062203,3.0,0.27272728,16.0,1.6315789,38.0,2.38756,38.0,2.84689,38.0,3.277512,38.0,3.3971293,38.0,3.5167465,38.0,3.6698565,38.0,3.8947368,38.0,3.0717704,38.0,2.291866,22.0,1.9521531,13.0,1.799043,13.0,2.229665,21.0,2.7033494,50.0,3.569378,50.0,3.7511961,50.0,3.8229666,50.0,3.8373206,50.0,3.7655501,50.0,3.7033494,50.0,3.5167465,50.0,3.2583733,50.0,2.6363637,19.0,3.238255,13.0,3974600.0,0.0,0.0,0.39564124,0.2950545,0.8331936,0.77619445,0.5934619,0.12992457,0.09052808,8.38223E-4,0.035205364,0.103939645,0.1601006,0.70326906,0.80888516,0.84157586,0.7585918,0.45515507,1.0,1.0,1.0,1.0,0.05951383,0.4635373,0.00838223,0.032690696,0.10980721,0.030176027,0.013411568,0.03436714,1.0,2.0,2.0595138,2.523051,2.5314333,2.564124,2.6739314,2.7041073,2.7175188,2.751886
Adaschia 1 R1 001.tif,0.43589744,0.08248188,0.012820513,52.21795,539.21796,13.141026,22.384615,0.5870561,0.3368837,0.6603112,2.0975535,6.1748734,9.826601,14.323046,8.529684,8.526998,8.197104,7.981169,32.551575,106.0,0.2,1.0,0.2,1.0,0.026666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25333333,4.0,0.25333333,4.0,0.22666667,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8133334,20.0,3.5066667,20.0,4.7733335,20.0,3.56,20.0,3.1466668,20.0,3.04,20.0,3.28,18.0,4.346667,18.0,6.7066665,19.0,9.146667,28.0,10.093333,28.0,7.9866667,26.0,4.8533335,20.0,2.48,20.0,0.7866667,7.0,0.13333334,3.0,7.2301254,46.0,3974600.0,0.99317074,0.0,0.0,0.0,0.0,0.3082927,0.3092683,0.1990244,0.18731707,0.0,1.0,0.19707318,0.5307317,0.36487806,0.3395122,1.0,1.0,1.0,1.0,0.99512196,0.0019512195,1.0,1.0,1.0,1.0,0.031219512,0.055609755,0.33170733,0.009756098,1.0,0.0019512195,1.0019512,2.0019512,3.0019512,4.001951,4.0331707,4.0887804,4.420488,4.430244,5.430244
